VARIABLES = "X" "temp" "u" "rho" "H2" "O2" "H2O" "H" "O" "OH" "HO2" "H2O2" "N2"
 ZONE I=13 FORMAT=POINT
0                         750                       707.194926098685          0.00077388749437862       0.187713502564526         0.170648638695024         1.722270434425e-16        -3.5195152374117e-14      3.85273664965406e-14      5.05589785592725e-20      -5.32775566157107e-14     -7.8952075943784e-16      0.6416378587405           
1                         749.999999999542          707.194926095884          0.000773887494381694      0.187713502561694         0.170648638689028         1.67568145416315e-13      2.34491702979863e-15      3.36644062895612e-16      4.09115170691259e-17      6.40383766903768e-12      4.76219455326313e-14      0.641637858742657         
1.5                       749.999999999202          707.194926094379          0.00077388749438334       0.187713502560302         0.170648638686036         2.32052675180866e-13      2.33482414624946e-15      2.11293051154415e-16      3.15035412196002e-17      9.61306861454386e-12      8.39589168588691e-14      0.64163785874373          
2                         749.999999998918          707.194926092928          0.000773887494384937      0.187713502558901         0.170648638683033         2.96886807677815e-13      2.35202450185261e-15      2.12015798885274e-16      3.16741268665968e-17      1.28224929007955e-11      1.32420060620104e-13      0.641637858744812         
2.5                       749.999999998692          707.1949260915            0.000773887494386484      0.187713502557489         0.17064863868002          3.62219485242663e-13      2.36964954443453e-15      2.13598935291017e-16      3.19178548095864e-17      1.6032411500911e-11       1.92999520195234e-13      0.641637858745902         
2.75                      749.999999998594          707.194926090815          0.000773887494387245      0.18771350255678          0.17064863867851          3.95011348249369e-13      2.37846536910163e-15      2.1439358534914e-16       3.20403358300163e-17      1.76374954372793e-11      2.26323848980445e-13      0.641637858746449         
3                         749.99999999851           707.194926090119          0.000773887494387994      0.187713502556068         0.170648638676998         4.27928774567211e-13      2.3872829294025e-15       2.15188429792528e-16      3.21631899245208e-17      1.92427040628996e-11      2.6267632167893e-13       0.641637858746998         
3.125                     749.999999998472          707.194926089774          0.000773887494388383      0.187713502555691         0.170648638676246         4.44419055864101e-13      2.39169213973145e-15      2.15585891044439e-16      3.22247097295342e-17      2.00453396869403e-11      2.81612053355857e-13      0.641637858747289         
3.25                      749.999999998438          707.194926088647          0.000773887494389603      0.187713502554356         0.170648638675695         4.60940982680826e-13      2.39610177954878e-15      2.15983391017361e-16      3.22863218869593e-17      2.08480067365737e-11      3.01304040918208e-13      0.641637858748336         
3.3125                    749.999999998425          707.194926074531          0.000773887494405055      0.187713502536667         0.170648638679009         4.69219160612373e-13      2.39830678045428e-15      2.16182158835323e-16      3.23171523135064e-17      2.12493602781643e-11      3.11340333945937e-13      0.641637858762292         
3.375                     749.999999998621          707.194925736688          0.00077388749477476       0.187713502112561         0.170648638768038         4.78075246827297e-13      2.40051986950663e-15      2.16382757572927e-16      3.23482034095948e-17      2.16516561132861e-11      3.21566579607782e-13      0.641637859096947         
3.40625                   750.000000002759          707.194922630809          0.000773887498173532      0.18771349821079          0.170648639590713         4.95701298026126e-13      2.40269813990621e-15      2.16909286841681e-16      3.24051344471771e-17      2.18798519567439e-11      3.26751879954946e-13      0.641637862175792         
3.421875                  750.000000044503          707.194907582411          0.000773887514641024      0.187713479280492         0.170648643582739         6.58027427771268e-13      2.49101835868348e-15      2.5055950290877e-16       3.5700656606314e-17       2.23865387871282e-11      3.29625884749533e-13      0.641637877113392         
3.4375                    750.000000618776          707.194805491293          0.000773887626359719      0.187713350508897         0.170648670733447         3.25039971052444e-12      8.29050983884406e-15      2.24104179514831e-15      2.34577189382884e-16      3.0597298588529e-11       3.36935360290173e-13      0.641637978723461         
3.453125                  750.000008509429          707.194114787853          0.000773888382200453      0.187712474551452         0.170648855319562         4.49768682104248e-11      4.08283047884551e-13      1.17329251479004e-13      1.21689183364016e-14      1.90820280137746e-10      4.15140575866081e-13      0.641638669892236         
3.4609375                 750.000049913239          707.19228570361           0.00077389038378625       0.1877101305771           0.170649348515058         2.98994596975539e-10      1.11439051743304e-11      2.49743620700763e-12      2.74808928179409e-13      1.35002457392589e-09      8.54503377927508e-13      0.641640519244052         
3.46875                   750.000350022928          707.185281182876          0.000773898049005688      0.187700986289937         0.170651265911643         2.41476152046026e-09      2.29935817363839e-10      4.1722684630719e-11       4.88542691618847e-12      1.23627004651847e-08      4.73907335591045e-12      0.641647732739675         
3.47265625                750.001175970486          707.174489979726          0.000773909858387459      0.18768646583386          0.170654291616921         9.05133877470317e-09      1.97914432356577e-09      2.69021775699554e-10      3.46728561869207e-11      4.80114613449718e-08      1.7921225916435e-11       0.641659183185659         
3.474609375               750.002486586108          707.163651139858          0.000773921720266737      0.187671307338149         0.170657424171118         2.10274419599615e-08      6.71075094176263e-09      7.72566286661953e-10      1.06338610206784e-10      1.09717735572192e-07      4.52740799354444e-11      0.641671130110626         
3.4765625                 750.005683607123          707.145842744583          0.000773941210325225      0.187645155676468         0.170662766621765         5.41202149343099e-08      2.09821252289478e-08      2.21158486208708e-09      3.22558363965479e-10      2.73643853109856e-07      1.32956626809897e-10      0.641691726288474         
3.478515625               750.013342122303          707.117167266658          0.000773972595719415      0.187600039829702         0.170671837870342         1.45127705125104e-07      6.49544730834047e-08      6.17828893968827e-09      9.86992303973291e-10      6.88157546243562e-07      4.12709831875907e-10      0.64172721648224          
3.4794921875              750.021011260859          707.096719543655          0.000773994977364704      0.187565215096584         0.17067872976374          2.49788111885741e-07      1.21491101593607e-07      1.05840349918134e-08      1.84769052586803e-09      1.10348110683918e-06      7.74934403338002e-10      0.641754567172695         
3.48046875                750.033872658142          707.071173387368          0.00077402294145936       0.187517767766096         0.170687954424498         4.46756269975839e-07      2.24458711407539e-07      1.83284421643364e-08      3.57840760381282e-09      1.81138855757446e-06      1.52725703406245e-09      0.641791771771761         
3.4814453125              750.055281477105          707.040106626115          0.000774056951390447      0.187453125886941         0.170700263167148         8.1705646001965e-07       4.12932227017828e-07      3.16628875856426e-08      7.16960827509675e-09      2.98976605782663e-06      3.0728744047482e-09       0.641842349285795         
3.48193359375             750.071205329912          707.022582314051          0.000774076137208297      0.187412022831933         0.170707948011375         1.12376992910456e-06      5.6605803286728e-07       4.17557929983588e-08      1.04810882320495e-08      3.8489386182534e-06       4.43608704950245e-09      0.641874433717143         
3.482421875               750.092395795253          707.004180859232          0.000774096284339606      0.187363476517128         0.170716866312724         1.56604823897972e-06      7.75493229795314e-07      5.52609383002419e-08      1.56175896401106e-08      4.98597350850305e-06      6.50342395875771e-09      0.641912252273219         
3.48291015625             750.120547794301          706.985464486006          0.000774116777314907      0.187306141506188         0.170727194840448         2.20331918002211e-06      1.06193490230343e-06      7.32176777114517e-08      2.36790140140633e-08      6.48075480045328e-06      9.62361010376425e-09      0.641956811124179         
3.4833984375              750.157879341364          706.967310478538          0.000774136655539493      0.187238430409232         0.170739132472399         3.12040982658323e-06      1.45358622990588e-06      9.69451139654853e-08      3.64522010743919e-08      8.43000290817761e-06      1.43036167801844e-08      0.642009285418473         
3.483642578125            750.181071292232          706.958933493719          0.0007741458284662        0.18719998167466          0.170745789340738         3.7291018906867e-06       1.70326124307189e-06      1.11592278860464e-07      4.56785478725693e-08      9.61739833698023e-06      1.75007726799161e-08      0.642039004451532         
